ref_date,province,Biomass,Combustible fuels,Hydro,Non-renewable combustibles,Nuclear,Solar,Wind
2017-09-01,Quebec,0.0,182656.0,14810039.0,0.0,0.0,153.0,673590.0
2017-09-01,Saskatchewan,0.0,1679034.0,166415.0,0.0,,0.0,44378.0
2017-10-01,Alberta,0.0,5935010.0,115172.0,0.0,,152.0,554736.0
2017-10-01,British Columbia,0.0,569015.0,5159770.0,0.0,,0.0,148540.0
2017-10-01,Manitoba,0.0,12457.0,2590750.0,0.0,,0.0,110391.0
2017-10-01,New Brunswick,0.0,313388.0,133256.0,0.0,433626.0,0.0,95432.0
2017-10-01,Newfoundland and Labrador,0.0,144299.0,2402138.0,0.0,,0.0,13906.0
2017-10-01,Nova Scotia,0.0,497309.0,24164.0,0.0,,0.0,136754.0
2017-10-01,Ontario,0.0,584664.0,2865164.0,0.0,7498389.0,171479.0,924653.0
2017-10-01,Prince Edward Island,0.0,548.0,0.0,0.0,,0.0,59278.0
2017-10-01,Quebec,0.0,179048.0,13434052.0,0.0,0.0,106.0,1101370.0
2017-10-01,Saskatchewan,0.0,1683057.0,191452.0,0.0,,0.0,78815.0
2017-11-01,Alberta,0.0,6765439.0,96645.0,0.0,,135.0,512010.0
2017-11-01,British Columbia,0.0,562246.0,5504735.0,0.0,,0.0,129187.0
2017-11-01,Manitoba,0.0,20864.0,2661262.0,0.0,,0.0,109527.0
2017-11-01,New Brunswick,0.0,360801.0,352060.0,0.0,464633.0,0.0,89366.0
2017-11-01,Newfoundland and Labrador,0.0,232292.0,3685370.0,0.0,,0.0,18386.0
2017-11-01,Nova Scotia,0.0,615888.0,24327.0,0.0,,0.0,141923.0
2017-11-01,Ontario,0.0,811816.0,3226379.0,0.0,7480272.0,90020.0,1045223.0
2017-11-01,Prince Edward Island,0.0,1102.0,0.0,0.0,,0.0,62557.0
2017-11-01,Quebec,0.0,218198.0,16979807.0,0.0,0.0,64.0,1057667.0
2017-11-01,Saskatchewan,0.0,1869191.0,181284.0,0.0,,0.0,84842.0
2017-12-01,Alberta,0.0,7060838.0,95188.0,0.0,,175.0,465186.0
2017-12-01,British Columbia,0.0,579642.0,6694208.0,0.0,,0.0,151673.0
2017-12-01,Manitoba,0.0,14292.0,3096288.0,0.0,,0.0,95959.0
2017-12-01,New Brunswick,0.0,573629.0,204758.0,0.0,479715.0,0.0,87554.0
2017-12-01,Newfoundland and Labrador,0.0,284173.0,4495169.0,0.0,,0.0,18360.0
2017-12-01,Nova Scotia,0.0,867565.0,60210.0,0.0,,0.0,140601.0
2017-12-01,Ontario,0.0,1149986.0,3673107.0,0.0,8195290.0,51863.0,1068494.0
2017-12-01,Prince Edward Island,0.0,1115.0,0.0,0.0,,0.0,62050.0
2017-12-01,Quebec,0.0,237107.0,20849726.0,0.0,0.0,44.0,1109624.0
